City ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
0,Bambous virieux,MU,74.21,-20.3428,57.7575,broken clouds,Casa Tia Villa
1,Bredasdorp,ZA,60.12,-34.5322,20.0403,clear sky,Bredasdorp Country Manor
2,Dingle,PH,83.26,10.9995,122.6711,overcast clouds,SEGAYA PROPERTY
6,Saint-philippe,RE,71.19,-21.3585,55.7679,light rain,"Chambres d'hôte ""La Trinité"""
8,Chabahar,IR,68.11,25.2919,60.643,clear sky,هتل گدروشیا
12,Malanville,BJ,66.6,11.8685,3.3899,clear sky,Hotel Sejour du Sahel
14,Cape town,ZA,65.08,-33.9258,18.4232,few clouds,Southern Sun Waterfront Cape Town
15,Port elizabeth,ZA,66.49,-33.918,25.5701,clear sky,39 On Nile Guest House
16,Carnarvon,AU,82.47,-24.8667,113.6333,clear sky,Hospitality Carnarvon
18,Tefe,BR,74.28,-3.3542,-64.7114,overcast clouds,Aracati Hotel
19,Bandarbeyla,SO,73.67,9.4942,50.8122,overcast clouds,JABIR HOTEL
26,Souillac,MU,74.35,-20.5167,57.5167,broken clouds,Shanti Maurice Resort & Spa
27,Chuy,UY,66.34,-33.6971,-53.4616,overcast clouds,Nuevo Hotel Plaza
31,Balsas,BR,72.46,-7.5325,-46.0356,overcast clouds,Novo Hotel
32,Hermanus,ZA,63.9,-34.4187,19.2345,clear sky,Misty Waves Boutique Hotel
41,Port alfred,ZA,70.54,-33.5906,26.891,overcast clouds,The Halyards Hotel
42,Victoria,HK,68.97,22.2855,114.1577,overcast clouds,Mini Hotel Central
45,Ferkessedougou,CI,72.55,9.6,-5.2,clear sky,Hotel Chateau
46,Itarema,BR,75.47,-2.9248,-39.9167,overcast clouds,"Sea Lounge! Bar, Club & Restaurant"
53,East london,ZA,72.18,-33.0153,27.9116,broken clouds,Tu Casa
54,Arraial do cabo,BR,75.85,-22.9661,-42.0278,few clouds,Pousada Porto Praia
55,Bengkulu,ID,82.0,-3.8004,102.2655,overcast clouds,Grage Hotel Bengkulu
59,Aquidauana,BR,73.45,-20.4711,-55.7872,overcast clouds,HOTEL ARARAS
62,San bernardo,CL,70.88,-33.6,-70.7167,clear sky,Jose antonio gajardo meza
63,Cockburn town,TC,78.21,21.4612,-71.1419,clear sky,Osprey Beach Hotel
66,Kruisfontein,ZA,64.89,-34.0033,24.7314,clear sky,Oyster Bay House Rental
72,Taltal,CL,67.12,-25.4,-70.4833,clear sky,Residencial Karime
74,Georgetown,MY,85.93,5.4112,100.3354,haze,Cititel Penang
82,Luanda,AO,77.14,-8.8368,13.2343,overcast clouds,Hotel Fórum
87,Vargem alta,BR,67.57,-20.6714,-41.0069,clear sky,Pousada Mont Serrat
89,Cidreira,BR,72.45,-30.1811,-50.2056,overcast clouds,Hotel Castelo
91,Marsh harbour,BS,74.03,26.5412,-77.0636,few clouds,Abaco Beach Resort
102,Boa vista,BR,80.58,2.8197,-60.6733,clear sky,Aipana Plaza Hotel
103,Garowe,SO,63.75,8.4054,48.4845,overcast clouds,Curubo Hotel
105,Sao joao da barra,BR,75.54,-21.6403,-41.0511,clear sky,Pousada Porto De Canoas
107,Puerto colombia,CO,80.69,10.9878,-74.9547,broken clouds,Hotel El Emigrante
109,Palmetto,US,63.28,27.5214,-82.5723,overcast clouds,Courtyard by Marriott Bradenton Sarasota/Riverfront
110,Sananduva,BR,65.37,-27.9497,-51.8067,overcast clouds,São José Palace Hotel
117,Ancud,CL,61.43,-41.8697,-73.8203,clear sky,Hotel Arena Gruesa
122,Oistins,BB,73.49,13.0667,-59.5333,scattered clouds,Butterfly Beach Hotel
123,Sao jose da coroa grande,BR,78.03,-8.8978,-35.1478,overcast clouds,Crôa Mares Hotel
124,Le moule,GP,74.17,16.3332,-61.3473,clear sky,Lakaz Hananou
126,Bani,DO,76.44,18.2833,-70.3333,clear sky,Hospedaje Henriquez
128,Maldonado,UY,63.23,-34.6667,-54.9167,overcast clouds,La Cimarrona
129,Clemencia,CO,80.19,10.5665,-75.325,few clouds,Casa de Miguel Ángel Vasquez
138,Antofagasta,CL,63.68,-23.65,-70.4,overcast clouds,"Holiday Inn Express Antofagasta, an IHG Hotel"
