City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,bambous virieux,MU,-20.3428,57.7575,74.21,88,75,3.44,broken clouds
1,bredasdorp,ZA,-34.5322,20.0403,60.12,82,0,2.3,clear sky
2,dingle,PH,10.9995,122.6711,83.26,76,88,8.14,overcast clouds
3,igrim,RU,63.1906,64.4162,-0.54,98,82,5.08,broken clouds
4,qaanaaq,GL,77.484,-69.3632,-10.19,71,30,7.7,scattered clouds
5,segezha,RU,63.7415,34.3222,13.42,97,100,4.85,overcast clouds
6,saint-philippe,RE,-21.3585,55.7679,71.19,83,53,8.39,light rain
7,kresna,BG,41.7333,23.15,30.52,82,15,2.55,few clouds
8,chabahar,IR,25.2919,60.643,68.11,52,0,6.4,clear sky
9,dhilwan,IN,31.5169,75.35,39.2,65,0,4.54,clear sky
10,jamestown,US,42.097,-79.2353,26.19,63,100,5.01,overcast clouds
11,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
12,malanville,BJ,11.8685,3.3899,66.6,22,2,9.78,clear sky
13,thisted,DK,56.9552,8.6949,39.2,69,3,31.07,clear sky
14,cape town,ZA,-33.9258,18.4232,65.08,76,20,8.05,few clouds
15,port elizabeth,ZA,-33.918,25.5701,66.49,88,0,11.5,clear sky
16,carnarvon,AU,-24.8667,113.6333,82.47,69,0,10.36,clear sky
17,la tuque,CA,47.4334,-72.7824,10.65,85,100,4.61,overcast clouds
18,tefe,BR,-3.3542,-64.7114,74.28,98,96,2.68,overcast clouds
19,bandarbeyla,SO,9.4942,50.8122,73.67,67,100,19.66,overcast clouds
20,kidal,ML,18.4411,1.4078,59.65,25,27,12.68,scattered clouds
21,tessalit,ML,20.1986,1.0114,59.45,23,85,12.59,overcast clouds
22,wejherowo,PL,54.6057,18.2356,39.83,100,100,4,light rain
23,saint-philippe,RE,-21.3585,55.7679,71.19,83,53,8.39,light rain
24,thompson,CA,55.7435,-97.8558,-3.84,71,100,10.36,overcast clouds
25,shache,CN,38.4167,77.2406,20.34,55,0,0.85,clear sky
26,souillac,MU,-20.5167,57.5167,74.35,88,75,3.44,broken clouds
27,chuy,UY,-33.6971,-53.4616,66.34,69,97,6.29,overcast clouds
28,husavik,IS,66.0449,-17.3389,37.31,78,100,14.56,overcast clouds
29,aripuana,BR,-9.1667,-60.6333,71.28,94,89,1.92,overcast clouds
30,cape town,ZA,-33.9258,18.4232,65.08,76,20,8.05,few clouds
31,balsas,BR,-7.5325,-46.0356,72.46,94,100,3.2,overcast clouds
32,hermanus,ZA,-34.4187,19.2345,63.9,81,2,3.49,clear sky
33,jamestown,US,42.097,-79.2353,26.19,63,100,5.01,overcast clouds
34,disraeli,CA,45.9001,-71.3491,19.29,57,100,9.75,overcast clouds
35,upernavik,GL,72.7868,-56.1549,2.77,91,100,19.53,overcast clouds
36,sarab,IR,38.6066,44.9883,21.36,92,94,3.65,overcast clouds
37,port elizabeth,ZA,-33.918,25.5701,66.49,88,0,11.5,clear sky
38,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
39,lebu,CL,-37.6167,-73.65,59.54,94,8,2.04,clear sky
40,hermanus,ZA,-34.4187,19.2345,63.9,81,2,3.49,clear sky
41,port alfred,ZA,-33.5906,26.891,70.54,88,91,14.45,overcast clouds
42,victoria,HK,22.2855,114.1577,68.97,91,100,11.99,overcast clouds
43,klaksvik,FO,62.2266,-6.589,43.72,89,100,18.25,overcast clouds
44,pagouria,GR,41.0291,25.3184,29.98,75,12,1.28,few clouds
45,ferkessedougou,CI,9.6,-5.2,72.55,19,9,3.06,clear sky
46,itarema,BR,-2.9248,-39.9167,75.47,88,100,7.54,overcast clouds
47,beyneu,KZ,45.3167,55.2,30.9,91,100,5.84,overcast clouds
48,longyearbyen,SJ,78.2186,15.6401,10.24,72,75,11.5,broken clouds
49,hermanus,ZA,-34.4187,19.2345,63.9,81,2,3.49,clear sky
50,lagoa,PT,39.05,-27.9833,58.62,77,5,15.77,clear sky
51,narsaq,GL,60.9167,-46.05,12.42,86,15,6.26,few clouds
52,skibbereen,IE,51.55,-9.2667,40.8,93,97,5.14,overcast clouds
53,east london,ZA,-33.0153,27.9116,72.18,89,71,15.41,broken clouds
54,arraial do cabo,BR,-22.9661,-42.0278,75.85,89,16,20,few clouds
55,bengkulu,ID,-3.8004,102.2655,82,71,97,1.07,overcast clouds
56,klaksvik,FO,62.2266,-6.589,43.72,89,100,18.25,overcast clouds
57,souillac,MU,-20.5167,57.5167,74.35,88,75,3.44,broken clouds
58,grindavik,IS,63.8424,-22.4338,41.47,93,100,28.77,overcast clouds
59,aquidauana,BR,-20.4711,-55.7872,73.45,96,100,3.02,overcast clouds
60,jamestown,US,42.097,-79.2353,26.19,63,100,5.01,overcast clouds
61,stephenville,US,32.2207,-98.2023,44.94,71,0,9.22,clear sky
62,san bernardo,CL,-33.6,-70.7167,70.88,70,0,3.8,clear sky
63,cockburn town,TC,21.4612,-71.1419,78.21,72,0,11.72,clear sky
64,mungwi,ZM,-10.1732,31.3694,60.84,97,100,3.27,light rain
65,iqaluit,CA,63.7506,-68.5145,-11.31,83,100,4,light snow
66,kruisfontein,ZA,-34.0033,24.7314,64.89,90,0,8.21,clear sky
67,zinder,NE,13.8072,8.9881,57.2,29,0,11.61,clear sky
68,qaanaaq,GL,77.484,-69.3632,-10.19,71,30,7.7,scattered clouds
69,raudeberg,NO,61.9875,5.1352,36.86,66,100,1.01,overcast clouds
70,bredasdorp,ZA,-34.5322,20.0403,60.12,82,0,2.3,clear sky
71,qaanaaq,GL,77.484,-69.3632,-10.19,71,30,7.7,scattered clouds
72,taltal,CL,-25.4,-70.4833,67.12,78,1,4.36,clear sky
73,sakakah,SA,29.9697,40.2064,36.97,79,3,3.42,clear sky
74,georgetown,MY,5.4112,100.3354,85.93,78,20,1.01,haze
75,port-cartier,CA,50.0334,-66.8654,12.31,90,100,6.71,overcast clouds
76,rovaniemi,FI,66.5,25.7167,18.81,93,100,3.44,overcast clouds
77,galich,RU,58.3797,42.3475,10.6,94,100,8.95,overcast clouds
78,saint george,US,37.1041,-113.5841,47.25,24,0,1.01,clear sky
79,longyearbyen,SJ,78.2186,15.6401,10.24,72,75,11.5,broken clouds
80,krasnyy kurgan,RU,43.9422,42.6108,20.28,78,63,6.82,broken clouds
81,toronto,CA,43.7001,-79.4163,27.43,77,100,1.01,overcast clouds
82,luanda,AO,-8.8368,13.2343,77.14,84,100,2.95,overcast clouds
83,ketrzyn,PL,54.0768,21.3753,35.04,97,100,19.66,light snow
84,jalu,LY,29.0331,21.5482,49.53,74,80,5.66,broken clouds
85,georgetown,MY,5.4112,100.3354,85.93,78,20,1.01,haze
86,iqaluit,CA,63.7506,-68.5145,-11.31,83,100,4,light snow
87,vargem alta,BR,-20.6714,-41.0069,67.57,87,1,4.63,clear sky
88,lesogorsk,RU,56.0458,99.5136,-13.22,100,95,1.3,overcast clouds
89,cidreira,BR,-30.1811,-50.2056,72.45,61,92,12.24,overcast clouds
90,follebu,NO,61.216,10.2851,25.56,79,13,8.86,few clouds
91,marsh harbour,BS,26.5412,-77.0636,74.03,77,13,8.19,few clouds
92,dikson,RU,73.5069,80.5464,3.47,94,100,23.42,overcast clouds
93,victoria,HK,22.2855,114.1577,68.97,91,100,11.99,overcast clouds
94,hamilton,US,39.1834,-84.5333,34.43,82,100,1.01,overcast clouds
95,east london,ZA,-33.0153,27.9116,72.18,89,71,15.41,broken clouds
96,sisimiut,GL,66.9395,-53.6735,5.27,81,100,21.85,overcast clouds
97,cape town,ZA,-33.9258,18.4232,65.08,76,20,8.05,few clouds
98,kamenka,RU,51.3223,42.7678,8.62,98,100,3.36,overcast clouds
99,pionerskiy,RU,54.9508,20.2275,39.04,88,100,24.23,overcast clouds
100,gornopravdinsk,RU,60.05,69.9,8.42,96,100,7.2,overcast clouds
101,opuwo,NA,-18.0607,13.84,70.97,67,100,5.48,overcast clouds
102,boa vista,BR,2.8197,-60.6733,80.58,61,0,5.75,clear sky
103,garowe,SO,8.4054,48.4845,63.75,83,100,7.36,overcast clouds
104,dikson,RU,73.5069,80.5464,3.47,94,100,23.42,overcast clouds
105,sao joao da barra,BR,-21.6403,-41.0511,75.54,91,1,15.08,clear sky
106,sapozhok,RU,53.9419,40.6806,1.17,99,79,8.34,broken clouds
107,puerto colombia,CO,10.9878,-74.9547,80.69,81,69,27.29,broken clouds
108,souillac,MU,-20.5167,57.5167,74.35,88,75,3.44,broken clouds
109,palmetto,US,27.5214,-82.5723,63.28,71,100,1.99,overcast clouds
110,sananduva,BR,-27.9497,-51.8067,65.37,80,92,10.51,overcast clouds
111,bandarbeyla,SO,9.4942,50.8122,73.67,67,100,19.66,overcast clouds
112,jamestown,US,42.097,-79.2353,26.19,63,100,5.01,overcast clouds
113,makat,KZ,47.6469,53.3463,25.59,89,100,7.31,overcast clouds
114,rouvroy,FR,50.3925,2.904,38.89,84,48,5.23,scattered clouds
115,awbari,LY,26.5921,12.7805,41.7,46,0,6.29,clear sky
116,cape town,ZA,-33.9258,18.4232,65.08,76,20,8.05,few clouds
117,ancud,CL,-41.8697,-73.8203,61.43,86,0,2.91,clear sky
118,east london,ZA,-33.0153,27.9116,72.18,89,71,15.41,broken clouds
119,hammerfest,NO,70.6634,23.6821,23.45,93,75,1.14,broken clouds
120,zdunska wola,PL,51.5992,18.9397,38.25,91,100,22.93,light rain
121,sirohi,IN,24.8833,72.8667,48.06,41,0,3.24,clear sky
122,oistins,BB,13.0667,-59.5333,73.49,83,40,6.91,scattered clouds
123,sao jose da coroa grande,BR,-8.8978,-35.1478,78.03,82,86,4.7,overcast clouds
124,le moule,GP,16.3332,-61.3473,74.17,100,1,8.9,clear sky
125,hermanus,ZA,-34.4187,19.2345,63.9,81,2,3.49,clear sky
126,bani,DO,18.2833,-70.3333,76.44,82,0,5.19,clear sky
127,dikson,RU,73.5069,80.5464,3.47,94,100,23.42,overcast clouds
128,maldonado,UY,-34.6667,-54.9167,63.23,60,94,4.61,overcast clouds
129,clemencia,CO,10.5665,-75.325,80.19,81,12,20.13,few clouds
130,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
131,hermanus,ZA,-34.4187,19.2345,63.9,81,2,3.49,clear sky
132,luderitz,NA,-26.6481,15.1594,66.45,75,0,23.11,clear sky
133,hermanus,ZA,-34.4187,19.2345,63.9,81,2,3.49,clear sky
134,jamestown,US,42.097,-79.2353,26.19,63,100,5.01,overcast clouds
135,cape town,ZA,-33.9258,18.4232,65.08,76,20,8.05,few clouds
136,bonavista,CA,48.6499,-53.1147,16.12,66,87,12.21,overcast clouds
137,upernavik,GL,72.7868,-56.1549,2.77,91,100,19.53,overcast clouds
138,antofagasta,CL,-23.65,-70.4,63.68,78,100,6.08,overcast clouds
139,port alfred,ZA,-33.5906,26.891,70.54,88,91,14.45,overcast clouds
140,souillac,MU,-20.5167,57.5167,74.35,88,75,3.44,broken clouds
141,jamestown,US,42.097,-79.2353,26.19,63,100,5.01,overcast clouds
142,havoysund,NO,70.9963,24.6622,23.88,69,100,14.99,light snow
143,mahebourg,MU,-20.4081,57.7,74.25,88,75,3.44,broken clouds
144,hermanus,ZA,-34.4187,19.2345,63.9,81,2,3.49,clear sky
145,kushmurun,KZ,52.4503,64.6311,6.67,96,100,3,overcast clouds
146,mar del plata,AR,-38.0023,-57.5575,61.88,75,0,1.01,clear sky
147,mar del plata,AR,-38.0023,-57.5575,61.88,75,0,1.01,clear sky
148,bilma,NE,18.6853,12.9164,55.13,24,5,8.95,clear sky
149,saint-philippe,RE,-21.3585,55.7679,71.19,83,53,8.39,light rain
150,mount darwin,ZW,-16.7725,31.5838,67.08,98,100,5.84,light rain
151,caceres,ES,39.522,-6.3748,44.8,60,0,7.23,clear sky
152,hare bay,CA,48.8499,-54.0148,7.95,81,11,5.35,few clouds
153,trelew,AR,-43.249,-65.3051,82.69,29,4,6.26,clear sky
154,mandera,KE,3.9366,41.867,76.62,32,59,6.85,broken clouds
155,salinopolis,BR,-0.6136,-47.3561,74.34,95,100,8.32,overcast clouds
156,qaanaaq,GL,77.484,-69.3632,-10.19,71,30,7.7,scattered clouds
157,qaanaaq,GL,77.484,-69.3632,-10.19,71,30,7.7,scattered clouds
158,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
159,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
160,torbay,CA,47.6666,-52.7314,17.76,87,40,5.75,scattered clouds
161,tsivilsk,RU,55.8611,47.4664,4.21,100,83,4.79,broken clouds
162,arraial do cabo,BR,-22.9661,-42.0278,75.85,89,16,20,few clouds
163,veraval,IN,20.9,70.3667,61.39,40,0,15.17,clear sky
164,el alto,PE,-4.2714,-81.2147,69.62,83,31,7.34,scattered clouds
165,tasiilaq,GL,65.6145,-37.6368,21.36,95,100,6.96,light snow
166,saint-francois,FR,46.4154,3.9054,30.67,93,100,2.3,mist
167,marienburg,PL,54.0359,19.0266,39.96,97,100,16.11,overcast clouds
168,leku,ET,6.8667,38.45,55.42,44,99,4.68,overcast clouds
169,agirish,RU,61.9247,63.0231,1.9,94,70,6.17,broken clouds
170,east london,ZA,-33.0153,27.9116,72.18,89,71,15.41,broken clouds
171,mahebourg,MU,-20.4081,57.7,74.25,88,75,3.44,broken clouds
172,hamilton,US,39.1834,-84.5333,34.43,82,100,1.01,overcast clouds
173,port alfred,ZA,-33.5906,26.891,70.54,88,91,14.45,overcast clouds
174,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
175,alikalia,SL,9.1667,-11.4,67.03,69,89,1.7,overcast clouds
176,gamovo,RU,57.8652,56.1056,4.62,78,100,4.47,overcast clouds
177,hamilton,US,39.1834,-84.5333,34.43,82,100,1.01,overcast clouds
178,ostrovnoy,RU,68.0531,39.5131,16.38,91,100,9.4,overcast clouds
179,kavaratti,IN,10.5669,72.642,79.14,72,49,10.07,scattered clouds
180,nanortalik,GL,60.1432,-45.2371,11.62,78,42,11.5,scattered clouds
181,cape town,ZA,-33.9258,18.4232,65.08,76,20,8.05,few clouds
182,gamba,GA,-2.65,10,76.39,88,92,4.97,overcast clouds
183,torbay,CA,47.6666,-52.7314,17.76,87,40,5.75,scattered clouds
184,longyearbyen,SJ,78.2186,15.6401,10.24,72,75,11.5,broken clouds
185,dikson,RU,73.5069,80.5464,3.47,94,100,23.42,overcast clouds
186,viedma,AR,-40.8135,-62.9967,67.95,52,0,18.75,clear sky
187,jamestown,US,42.097,-79.2353,26.19,63,100,5.01,overcast clouds
188,havoysund,NO,70.9963,24.6622,23.88,69,100,14.99,light snow
189,jurado,CO,7.1053,-77.7641,75.45,92,100,3.76,overcast clouds
190,los llanos de aridane,ES,28.6585,-17.9182,55.15,74,100,8.01,overcast clouds
191,jumla,NP,29.2747,82.1838,24.67,49,0,4.76,clear sky
192,hofn,IS,64.2539,-15.2082,37.98,98,100,14.14,overcast clouds
193,sao joao da barra,BR,-21.6403,-41.0511,75.54,91,1,15.08,clear sky
194,pishin,PK,30.5803,66.9961,41.34,32,0,1.3,clear sky
195,saint-francois,FR,46.4154,3.9054,30.67,93,100,2.3,mist
196,upernavik,GL,72.7868,-56.1549,2.77,91,100,19.53,overcast clouds
197,cacoal,BR,-11.4386,-61.4472,71.89,97,34,3.69,scattered clouds
198,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
199,mahebourg,MU,-20.4081,57.7,74.25,88,75,3.44,broken clouds
200,togur,RU,58.3631,82.8265,-7.89,99,97,7.18,overcast clouds
201,acari,PE,-15.4311,-74.6158,73.4,68,81,3.62,broken clouds
202,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
203,hermanus,ZA,-34.4187,19.2345,63.9,81,2,3.49,clear sky
204,contamana,PE,-7.3333,-75.0167,76.19,84,97,2.82,overcast clouds
205,jamestown,US,42.097,-79.2353,26.19,63,100,5.01,overcast clouds
206,port alfred,ZA,-33.5906,26.891,70.54,88,91,14.45,overcast clouds
207,gat,IL,31.61,34.7642,47.39,100,100,11.56,overcast clouds
208,touros,BR,-5.1989,-35.4608,77.9,81,100,6.98,overcast clouds
209,hermanus,ZA,-34.4187,19.2345,63.9,81,2,3.49,clear sky
210,muzaffarabad,PK,34.37,73.4711,39.33,43,0,6.96,clear sky
211,saint george,US,37.1041,-113.5841,46.99,24,0,14,clear sky
212,bambous virieux,MU,-20.3428,57.7575,74.21,88,75,3.44,broken clouds
